x,y,tile_cbf_hz,tile_peak_amp,tile_var,tile_zcr,tile_cbp_sine_score,tile_cbp_amp,video,label,fps,class
64,352,3.28125,318.004018778428,15.977753735553332,0.25098039215686274,-0.35664109645321773,3.997218249677309,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
96,352,2.109375,503.7966745799484,28.85047211540006,0.1607843137254902,-0.19590799859338565,5.371263549240537,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
128,352,3.28125,225.1775286242003,10.445775538938566,0.27450980392156865,-0.3796430275853903,3.231992502921157,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
160,352,2.34375,188.64820030463596,9.272624656661954,0.2627450980392157,0.3313992283525303,3.0450984641981536,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
192,352,2.34375,309.54131029431574,14.3597810796167,0.19607843137254902,-0.31326099405581403,3.7894301787493987,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
224,352,2.34375,312.9359651054466,16.262932809101237,0.26666666666666666,0.29725664708807825,4.03273267265526,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
256,352,5.625,187.75061599966563,10.001008807242503,0.27450980392156865,-0.07331068581399722,3.1624371625761203,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
288,352,3.75,115.06567845752828,4.296312475435669,0.396078431372549,-0.2397135954830861,2.072754803500807,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
320,352,26.71875,48.43312862659535,1.3387233665068197,0.5843137254901961,-0.1355087118754143,1.1570321371970702,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
352,352,26.71875,48.15977370421157,1.2011095327835386,0.615686274509804,-0.13463810205132054,1.0959514281132803,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
384,352,26.71875,47.57603448054617,1.3051914010720074,0.5882352941176471,-0.12972122909960648,1.1424497367814512,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
416,352,26.71875,52.17601767433618,1.233669824529273,0.6,-0.146463513796603,1.1107069030708654,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
448,352,26.71875,46.34054480049499,1.2044424565731022,0.615686274509804,-0.12679706676433972,1.0974709365505322,inline-supplementary-material-6.avi,Healthy_side,60.0,Healthy
